Pod	FriendlyName	Catalog	BankIdentifier	Name
17	Uncle CU	AlkamiUncleCU	4d3c601c-28da-447d-82c4-dcc186349c23	UNCLE Credit Union
17	USC Credit Union	AlkamiUSCCU	f6ef4dc3-752b-495a-aa63-112e32a589db	USC Credit Union
17	Wyhy Federal Credit Union	AlkamiWyHyFCU	980106e8-7af1-4093-9fe6-6651dde13dd0	WyHy Federal Credit Union
18	Alltru Credit Union	Alkami1stFinancialFCU	f228daf1-4b58-404c-a65c-521df728619f	Alltru Federal Credit Union
18	Advantage One Federal Credit Union	AlkamiAdvantageOneCU	0fb32d2b-8555-44a0-a40a-71fa06bdcabb	Advantage One Credit Union
18	Credit Union ONE	AlkamiCreditUnionOneCU	44083960-0124-403d-936e-a6f07fd0ca57	Credit Union ONE
18	Florida Credit Union	AlkamiFloridaCU	c40faeb0-5cdc-4d72-95fe-e2b14cee4ae9	FloridaCU
18	Holy Rosary Credit Union	AlkamiHolyRosaryCU	c9014e0e-3151-4ef1-ab4c-fac29e1f3f42	HRCU
18	Mayo Employees Federal Credit Union	AlkamiMayoEmployeesFCU	405b7509-3cd4-43f3-b93a-44aabfb62df2	Mayo Employees FCU
18	Memphis City Employees Credit Union	AlkamiMemphisCU	d0d8441e-2859-4bf1-b82d-dfca423766df	Memphis City Employees Credit Union
18	Merrimack Valley Credit Union	AlkamiMerrimackValleyCU	79c389e4-1100-482e-8c78-6d05c7417c0e	BrightBridge CU
18	NET Federal Credit Union	AlkamiNETFCU	40af9110-5c07-4680-b598-5167348d16f7	NET Credit Union
18	Nymeo Federal Credit Union	AlkamiNYMEOCU	c8accedd-8b31-4925-b589-8a347b5862a4	Nymeo
18	Westmark Credit Union	AlkamiWestmarkFCU	d632fbb5-f238-4ac8-9590-6c12b9905a51	Westmark Credit Union
18.51	Northwest Federal Credit Union	AlkamiNorthwestFCU	cdd2efd7-189f-4125-80e8-44408b8abe9d	Northwest Federal Credit Union
19	Carolinas Telco Federal Credit Union	AlkamiCarolinasTelcoFCU	bcbef5cb-de9b-411e-8eec-61821976964a	Carolinas Telco Federal Credit Union
19	Charter Oak Federal Credit Union	AlkamiCharterOakFCU	1ef2fcef-3961-4ca3-8d05-0480c4698a26	Charter Oak FCU
19	Cinfed Federal Credit Union	AlkamiCinfedCU	aa2145ab-d2d8-4aa9-bd15-41f0deb14e2a	Cinfed Credit Union
19	Direct Federal Credit Union	AlkamiDirectfcu	2031b92f-4bf9-4890-98e4-8a1a30d2373f	Direct Federal Credit Union
19	Municipal Credit Union	AlkamiNYMFCU	b44f3db8-9bf9-411b-b911-c1a65bcea3c5	Municipal Credit Union
19	STAR Financial Bank	AlkamiSTARBank	d95d2e61-a7a2-4fcd-9f03-aa2b914578b0	STAR Financial Bank
19	Telhio Credit Union	AlkamiTelhioCU	4caad8c5-45c4-4a1b-8ce2-1992fcd7471d	Telhio Credit Union
19	Verve, A Credit Union	AlkamiVerveACU	0a1016ba-f4fe-41f2-80c3-d86f3f1bacd1	Verve a Credit Union
2.5	Credit Union Of America	AlkamiCUAmerica	8d71ad3d-6f58-41c2-b33b-f458dfae929e	Credit Union of America
2.5	Credit Union 1 (AK)	AlkamiCuOne	11af2e66-b72e-415b-843e-19f2efb38067	Credit Union 1
2.5	Gate City Bank	AlkamiGateCityBank	d4cb91aa-3c75-47ee-980d-2e3783a2dfbe	Gate City Bank
2.5	Jefferson Financial Credit Union	AlkamiJFCU	92ab4c2f-b228-46bf-873b-26b7db2db1d0	Jefferson Financial FCU
2.5	Northern Skies Federal Credit Union	AlkamiNorthernSkies	d69dad5f-d197-492c-bdd9-1a9c08a3b02f	Northern Skies Federal Credit Union
2.5	Scott Credit Union	AlkamiScottCU	830c9d1a-0bbf-4fba-9dd0-37aa0fdd6bc0	Scott Credit Union
2.5	Sidney Federal Credit Union	AlkamiSidney	dcd24799-2560-451f-828b-f5da13db5e4f	SFCU
2.5	Sun Federal Credit Union	AlkamiSun	4df68878-cd8b-42a8-8417-32319c68f107	Sun Federal Credit Union
2.5	Vibrant Credit Union	AlkamiVibrant	aa51354f-a48c-4315-96b5-51d3abd8295c	Vibrant Credit Union
20	Acadia Federal Credit Union	AlkamiAcadiaFCU	df925ef5-a4dc-4304-8a19-1ae3fa05ce8b	Acadia Federal Credit Union
20	Apple Federal Credit Union	AlkamiAppleFCU	86b6d411-4bd3-438e-b2ba-617174fe248c	Apple FCU
20	Arkansas Federal Credit Union	AlkamiArkansasFCU	15302625-5189-4beb-b37c-fa1274adced5	Arkansas Federal Credit Union
20	Atlantic Federal Credit Union	AlkamiAtlanticFCU	0a7a921a-bbe0-4ef2-bfe3-0b95f6c2309c	Atlantic Federal Credit Union
20	Carolina Trust Federal Credit Union	AlkamiCarTrustFCU	531e3a1b-40b4-453a-bcf2-52b00dc039ed	Carolina Trust Federal Credit Union
20	Educational Federal Credit Union	AlkamiEducationalFCU	d913be88-7602-42f4-829b-d854a6cf5452	Educational Federal Credit Union
20	Heartland Credit Union (KS)	AlkamiHeartlandKSCU	2215b178-5098-4365-a023-35567782bf7d	Heartland Credit Union
20	Maine Savings Federal Credit Union	AlkamiMaineSavings	1f743221-6f62-4625-aafc-c4ba099c2d7a	Maine Savings
20	Marine Credit Union	AlkamiMarineCU	57ccfe56-b350-4371-aa0a-5e2b062bd1be	Marine Credit Union
20	NorState Federal Credit Union	AlkamiNorstateFCU	8f9f5a86-90fc-4928-8019-3b170e5f8e1a	NorState Federal Credit Union
20	Northern Credit Union	AlkamiNorthernCU	f94a7db2-e10e-48b1-8fb5-51955edbaad8	Northern Credit Union
20	PeoplesChoice Credit Union	AlkamiPeoplesChoice	cc0bc5f7-684a-42b9-bf56-dd259e778392	PeoplesChoice Credit Union
20	The People's Credit Union	AlkamiPeoplesCU	c5efd46f-0a61-4ac1-99d1-0f30752c14e9	People’s Credit Union
20	Three Rivers Federal Credit Union	AlkamiThreeRiversFCU	be4563a2-036a-499a-bbf5-30d7d5b7abd8	3Rivers
20.4	Broadview Federal Credit Union	AlkamiStateEmployeesFCU	d3caf28d-e7dd-40da-9992-4fa29dff4894	Broadview Federal Credit Union
20.6	First InterNational Bank & Trust	AlkamiFirstInternationalBT	2dd8637f-ea3e-490d-a7e9-17df2c955aa3	First International Bank & Trust
21	Centra Credit Union	AlkamiCentraCU	62dc61a7-7a35-440d-a7ac-ce324a2053eb	Centra Credit Union
21	Del-One Federal Credit Union	AlkamiDelOne	89802eb9-5207-48c4-8537-10d4705bc3c8	Del-One FCU
21	Five County Credit Union	AlkamiFiveCountyCU	a844e3d3-64cf-443a-924f-f26a89e47c74	FiveCountyCU
21	Heartland Credit Union (WI)	AlkamiHeartlandWICU	a700e2b2-c75b-4279-87a5-a1221bf6ba45	Heartland Credit Union
21	Kennebec Savings Bank	AlkamiKennebecSB	abbd1328-9a3d-4cf6-b609-0a88f2c110e4	Kennebec Savings Bank
21	Launch Credit Union	AlkamiLaunchCU	304bcde7-e027-484e-b7a5-e929a946b88e	Launch Credit Union
21	Leominster Credit Union	AlkamiLeominster	a13c6359-02f6-4998-aba7-9d2ab3a454e3	All One Credit Union
21	LOC Federal Credit Union	AlkamiLOCFCU	da195e92-4311-4e1d-b2cf-79cd19640ad5	LOC CREDIT UNION
21	Maine State CU	AlkamiMaineStateCU	3188e739-824c-4316-8935-6f8fad8ac811	MAINE STATE CREDIT UNION
21	ORNL Federal Credit Union	AlkamiORNLFCU	8593d6b8-a168-4f26-96bf-e81238673061	ORNL Federal Credit Union
